Product_id;Name;is_person_transport_title;is_junior;is_senior
 id-prod-ca-tarifa-bordo-bica; TBordo-Bica;True;False;False
 id-prod-ca-tarifa-bordo-graca; TBordo-Graça;True;False;False
 id-prod-ca-tarifa-bordo-sjusta; TBordo-SJusta;True;False;False
 id-prod-31_441; Passe LX/BT CMLT;True;False;False
 id-prod-31_442; Passe LX/BT CMLT;True;False;False
 id-prod-31_443; Passe LX/BT CMLT;True;False;False
 id-prod-31_444; Passe LX/BT CMLT;True;False;False
 id-prod-31_445; Passe LX/BT CMLT;True;False;False
 id-prod-31_446; Passe LX/BT CMLT;True;False;False
 id-prod-31_447; Passe LX/BT CMLT;True;False;False
 id-prod-31_448; Passe LX/BT CMLT;True;False;False
 id-prod-31_449; Passe LX/BT CMLT;True;False;False
 id-prod-31_450; Passe LX/BT CMLT;True;False;False
 id-prod-31_451; Passe LX/BT CMLT;True;False;False
 id-prod-31_452; Passe LX/BT CMLT;True;False;False
 id-prod-31_453; Passe LX/BT CMLT;True;False;False
 id-prod-31_454; Passe LX/BT CMLT;True;False;False
 id-prod-31_455; Passe LX/BT CMLT;True;False;False
 id-prod-31_456; Passe LX/BT CMLT;True;False;False
 id-prod-31_457; Passe LX/BT CMLT;True;False;False
 id-prod-31_11060; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11061; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11062; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11063; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11064; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11065; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11066; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11067; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11068; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11069; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11070; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11071; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11072; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11073; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11074; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11075; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11076; Passe LX/BT CMLT cPTB;True;False;False
 id-prod-31_11080; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11081; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11082; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11083; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11084; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11085; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11086; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11087; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11088; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11089; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11090; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11091; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11092; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11093; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11094; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11095; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_11096; Passe LX/BT CMLT cPTA;True;False;False
 id-prod-31_9690; P.LXBT IR CMTL Sub18+TP;True;False;False
 id-prod-31_9691; P.LXBT IR CMTL Sub23+TP;True;True;False
 id-prod-31_470; Passe M - LX;True;False;False
 id-prod-31_473; Passe M - LX cPT B;True;False;False
 id-prod-31_474; Passe M - LX cPT A;True;False;False
 id-prod-31_475; Passe M - LX AC -65;True;False;False
 id-prod-31_476; Passe M - LX AC +65;True;False;True
 id-prod-31_471; Passe M - LX Sub18+TP;True;False;False
 id-prod-31_472; Passe M - LX Sub23+TP;True;True;False
 id-prod-30_466; Passe M - LX Visitante REDE;True;False;False
 id-prod-30_5916; Passe M - LX Visitante REDE cPT B;True;False;False
 id-prod-30_6021; Passe M - LX Visitante REDE cPT A;True;False;False
 id-prod-31_436; Passe Lisboa Viva - Normal CIMLT;True;False;False
