verification_status,status,id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,display_mode,stops
verificado,ok,369,Av. 25 de Abril (X) Av. das Gaivotas,38.453213,-9.120361,3,Zambujal,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150199
verificado,ok,370,Avenida 10 de Junho - Rotunda,38.551539,-9.099557,3,Quinta do Conde,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150563
verificado,ok,374,Av Luísa Todi 195,38.522928,-8.895046,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160161
verificado,structure_graffiti,376,Av 22 Dezembro (Escola de Condução),38.525150,-8.893968,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160105
verificado,ok,377,KM 39200 - Largo Combatentes,38.525054,-8.894627,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160531
verificado,sticker_missing,378,Hospital São Bernardo,38.529250,-8.881965,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160029
verificado,ok,379,Av Coração de Maria - Escola,38.540172,-8.876633,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160147
verificado,ok,380,Estrada de Algeruz,38.545030,-8.856172,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160293
verificado,ok,381,Alto da Estefanilha - IPS,38.523529,-8.839510,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160043
verificado,ok,383,EN10 - Praça da República,38.519085,-9.013218,4,Vila Nogueira de Azeitão,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160747
verificado,structure_graffiti,384,ESTR ALGERUZ - BOMBEIROS,38.538796,-8.866637,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160186
verificado,sticker_missing,386,Várzea (Terminal),38.539696,-8.887969,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,departures,161001|161002|161003|161004|161005|161006
verificado,ok,389,Avenida António Sérgio - Manteigadas,38.522625,-8.850871,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160051
verificado,ok,390,EN110 231,38.545987,-8.817900,4,Cotovia,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160658
verificado,ok,391,Escola Básica do Faralhão,38.522175,-8.818311,4,Faralhão,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160320
verificado,ok,393,EN10 Km34,38.540100,-9.026249,4,Brejos de Azeitão,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160805
verificado,ok,394,Praia da Figueirinha,38.484690,-8.945400,4,Figueirinha,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160819
verificado,ok,395,Av. Manuel Maria Portela Ft. 77,38.528193,-8.886457,4,Setúbal,1512,Setúbal,15,Setúbal,PT170,AML,arrivals,160141
verificado,ok,406,Av. do Brasil (Ft. Pq. Estacionamento),38.749387,-9.298603,1,Agualva Cacém,1111,Sintra,11,Lisboa,PT170,AML,arrivals,170725
verificado,ok,407,Av. Bons Amigos (Pq. Estacionamento),38.769514,-9.295143,1,Agualva Cacém,1111,Sintra,11,Lisboa,PT170,AML,arrivals,170459|172500
verificado,ok,408,Av. Bons Amigos (Ft. Pq. Estacionamento),38.769678,-9.295272,1,Agualva Cacém,1111,Sintra,11,Lisboa,PT170,AML,arrivals,170460|172621
verificado,ok,409,Mercês (Estação),38.793055,-9.329976,1,Algueirão - Mem Martins,1111,Sintra,11,Lisboa,PT170,AML,arrivals,170271|177322
