id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
TRAIN_066,Sintra,38.799457,-9.385184,1,0,0,0,,,,111128,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1111,Sintra,11,Lisboa,PT170,AML,171923
TRAIN_067,Portela de Sintra,38.802232,-9.376669,1,0,0,0,,,,111128,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1111,Sintra,11,Lisboa,PT170,AML,170307|170391|170821|172481|172482|172483|172485|172533|172534
TRAIN_068,Bobadela,38.807258,-9.094374,0,1,0,0,,,,110728,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",1107,Loures,11,Lisboa,PT170,AML,
TRAIN_069,Telhal,38.809208,-9.302575,1,0,0,0,,,,111123,"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",1111,Sintra,11,Lisboa,PT170,AML,
TRAIN_070,Sabugo,38.830844,-9.299903,1,0,0,0,,,,111123,"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",1111,Sintra,11,Lisboa,PT170,AML,171115|171116
TRAIN_071,Santa Iria,38.840565,-9.080525,0,1,0,0,,,,110728,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",1107,Loures,11,Lisboa,PT170,AML,070707
TRAIN_072,Póvoa,38.859169,-9.064475,0,1,0,0,,,,111415,União das freguesias de Póvoa de Santa Iria e Forte da Casa,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,180503|180504|180529
TRAIN_073,Pedra Furada,38.870097,-9.295512,1,0,0,0,,,,111123,"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",1111,Sintra,11,Lisboa,PT170,AML,172411|172412
TRAIN_074,Alverca,38.890519,-9.033428,0,1,0,0,,,,111413,União das freguesias de Alverca do Ribatejo e Sobralinho,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,180041|182200|182255|182257|182258
TRAIN_075,Mafra,38.897410,-9.291730,0,1,0,0,,,,110920,União das freguesias de Igreja Nova e Cheleiros,1109,Mafra,11,Lisboa,PT170,AML,081051|081052
TRAIN_076,Alhandra,38.924120,-9.011294,0,1,0,0,,,,111412,"União das freguesias de Alhandra, São João dos Montes e Calhandriz",1114,Vila Franca de Xira,11,Lisboa,PT170,AML,180065|180091
TRAIN_077,Malveira,38.928760,-9.257734,0,1,0,0,,,,110921,União das freguesias de Malveira e São Miguel de Alcainça,1109,Mafra,11,Lisboa,PT170,AML,080281|080282
TRAIN_078,Vila Franca de Xira,38.955753,-8.986016,0,1,0,0,,,,111409,Vila Franca de Xira,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,180291|180765|180079
TRAIN_079,Castanheira do Ribatejo,38.989069,-8.965328,0,1,0,0,,,,111414,União das freguesias de Castanheira do Ribatejo e Cachoeiras,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,180313|180314|181006|181007
TRAIN_080,Carregado,39.005572,-8.953785,0,1,0,0,,,,111414,União das freguesias de Castanheira do Ribatejo e Cachoeiras,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,180333|180334
TRAIN_081,Jerumelo,38.949940,-9.233040,0,0,0,0,,,,1112,#N/A,1112,Sobral de Monte Agraço,11,Lisboa,PT16B,Oeste,200117|200118
